Título,Descripción,Duración,Enlace
Rambo 4,"El veterano de Vietnam John Rambo ha sobrevivido a muchas pruebas terribles en su vida y desde entonces se ha retirado a una isla simple y aislada en Tailandia, donde pasa su tiempo capturando serpientes para artistas locales.",1hr 31 min,https://pluto.tv/on-demand/movies/5e552dc35c1e25001a24f31a
Todo Corazón,"Basada en el relato de Mariane Pearl sobre la terrible e inolvidable historia de su esposo, el periodista del Wall Street Journal Danny Pearl, su vida y su muerte.",1hr 48 min,https://pluto.tv/on-demand/movies/62f5240f6df8ae001a028380
En busca de venganza,Un padre de familia (Arnold Schwarzenegger) buscará venganza contra el controlador del aeropuerto (Scoot McNairy) responsable del fallecimiento de su mujer e hija. Film basado en hechos reales.,Thriller,https://pluto.tv/on-demand/movies/5e6ff3654698db001ab3dd65
Machine Gun Preacher,Sam Childers es un ex motorista traficante de drogas que encontró a Dios y se convirtió en un cruzado salvando a cientos de niños sudaneses obligados a convertirse en soldados.,2hr 9 min,https://pluto.tv/on-demand/movies/5dfd2e7ebe7e53bc0c65d521
Out of the Furnace,"Russell (Christian Bale), un trabajador del acero, toma un asunto familiar en sus propias manos cuando su hermano, Rodney (Casey Affleck) se involucra con uno de los sindicatos del crimen más rudos del noreste y luego desaparece.",Thriller,https://pluto.tv/on-demand/movies/5ea2ee9bc733d6001a1ae620
Blitz,"Blitz es un asesino en serie de Londres que está matando agentes de la policía. El inspector jefe Roberts y el sargento Brant, un duro, inflexible y políticamente incorrecto detective de la policía, se encargarán de intentar detener al psicópata.",1hr 37 min,https://pluto.tv/on-demand/movies/5dfd2e74be7e53bc0c65d42d
6 Balas,"Cuando secuestran a la hija de un profesional de artes marciales, sólo hay un hombre que puede ayudar a encontrarla: un ex-mercenario.",1hr 55 min,https://pluto.tv/on-demand/movies/5f3fd887ad190c001a52e538
Un pedacito de cielo,"Marley (Kate Hudson) es una mujer joven que descubre que se está muriendo de cáncer, pero cuando de forma inesperada se enamora de su médico (Gael García Bernal), la amenaza de caer en el amor es más aterradora que la muerte.",1hr 46 min,https://pluto.tv/on-demand/movies/5e7b5ed187df5d001bb8f333
Promesa de vida,Un hombre australiano viaja a Turquía después de la Batalla de Gallipoli para intentar encontrar a sus hijos perdidos.,1hr 51 min,https://pluto.tv/on-demand/movies/5e6a42b6e2fa10001becd269
Agua Profunda,Black Water es una película de acción que gira en torno a un agente (Jean-Claude Van Damme) que despierta atrapado en una prisión secreta de la CIA a bordo de un submarino.,1hr 44 min,https://pluto.tv/on-demand/movies/5f7b877fe4b56900138b7df9
El Ilusionista,"En Viena de 1900, Eisenheim cautiva con sus espectáculos de magia e ilusionismo. Sus poderes sobrenaturales llegan a oídos del príncipe heredero Leopold.Sospechando un fraude,Leopold encarga al inspector de policía Uhl que vigile de cerca al mago.",1hr 49 min,https://pluto.tv/on-demand/movies/604b91eab2b870001a05f05f
El aprendiz,"Un ex-agente de la CIA vuelve a la acción para proteger a un testigo muy valioso, pero pronto se da cuenta de que los tiempos han cambiado y ya no puede confiar en nadie, ni siquiera en aquellos a los que consideraba sus amigos.",1hr 48 min,https://pluto.tv/on-demand/movies/5e6a42a6e2fa10001becd0b7
Una Acción Civil,"Jan es abogado de lesión personal que solo acepta casos grandes en los que puede llegar a un acuerdo fuera de la corte. Su último caso parece simple, pero se volverá una batalla épica, una por la que estará dispuesto a arriesgar su carrera.",1hr 55 min,https://pluto.tv/on-demand/movies/62f523dd6df8ae001a027bb8
Precious,"una adolescente analfabeta, maltratada y con sobrepeso que está embarazada de su segundo hijo es invitada a inscribirse en una escuela alternativa con la esperanza de poder cambiar su vida en una mejor dirección.",1hr 50 min,https://pluto.tv/on-demand/movies/6310dca88762280014a48a22
Regresión,Un detective y un psicoanalista descubren pruebas de un culto satánico mientras investigan el aterrador pasado de una joven.,Thriller,https://pluto.tv/on-demand/movies/6310df827a42340013e95fe1
Asesino a sueldo,Un caso de identidad equivocada lleva a Slevin al centro de una guerra tramada por dos de los jefes criminales más rivales de la ciudad.,1hr 50 min,https://pluto.tv/on-demand/movies/6310cffb37c5800013b697b2
"Yo , Frankenstein",La criatura de Frankenstein se encuentra atrapada en una guerra total de siglos de antigüedad entre dos clanes inmortales.,1hr 32 min,https://pluto.tv/on-demand/movies/6317a122bb171a00130f81c7
The cobbler,Cuenta la historia de un zapatero que tiene la peculiar habilidad de asumir la vida de sus clientes a través de los zapatos que repara.,1hr 38 min,https://pluto.tv/on-demand/movies/5e0a2c00be8fa6764e877186
Hombre Peligroso,"Tras cumplir seis años en prisión por un crimen que no había cometido, Shane Daniels es absuelto con una disculpa del Estado de Arizona. Shane debe luchar a su manera en un país corrupto y asegurarse de que la chica salga con vida.",1hr 34 min,https://pluto.tv/on-demand/movies/60c8abbe36537d001332092c
Bring it on,"Dos equipos de animadoras se enfrentarán para conseguir el gran premio nacional de ""cheerleaders"".",1hr 38 min,https://pluto.tv/on-demand/movies/5e0a2bfcbe8fa6764e87710e
The Expendables,"En 'The Expendables' el trío de héroes de acción compuesto por Stallone, Statham y Li formarán parte de un comando de mercenarios que se infiltrarán en un país de Sudamérica y lucharán contra un un cruel dictador para liberar a la población.",1hr 43 min,https://pluto.tv/on-demand/movies/650dd1f64827fc001a7df74a
Derailed,"¡En un tren fuera de control que retiene rehenes y el agente de armas biológicas de alta tecnología, Kristoff (Van Damme) se convierte en un ejército de un solo hombre para descarrilar a los terroristas y salvar las vidas de todos a bordo!",1hr 28 min,https://pluto.tv/on-demand/movies/5e555cbc5c7c10001a5f69b3
Hermandad De Justicia,"Keanu Reeves, Kiefer Sutherland y Billy Zane son los mejores estudiantes de secundaria y crean un grupo de vigilantes en su vecindario. Pero, a medida que su poder aumenta, se vuelven más abusivos y peligrosos.",1hr 34 min,https://pluto.tv/on-demand/movies/650b0d29f6f05d0013af33b2
Sobre la ley,"Cuando un ex detective se entera del asesinato de su hijo , se aventura a regresar a las calles oscuras que una vez conoció tan bien. Armado, peligroso y sin nada que perder, debe enfrentarse a la despiadada mafia local en su misión de venganza.",1hr 29 min,https://pluto.tv/on-demand/movies/64021c5a653b4e0013096861
